Nome: NOSSA SENHORA DA GLORIA
Codigo Estacao: A453
Latitude: -10.20777777
Longitude: -37.43194443
Altitude: 271
Situacao: Operante
Data Inicial: 2017-03-23
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-03-31;null;null;null;null;null;null;
2017-04-30;10;73;982.057693;26.15657;7.8;2.921661;
2017-05-31;18;176;983.399065;24.449001;null;null;
2017-06-30;23;128.2;985.100937;22.837194;null;null;
2017-07-31;26;118;987.870296;21.252151;null;null;
2017-08-31;22;81.6;985.997555;21.823443;null;null;
2017-09-30;26;null;986.50852;21.926019;null;null;
2017-10-31;14;23;983.726712;23.752568;5.4;2.744873;
2017-11-30;5;13.2;981.120897;25.735743;6;2.959397;
2017-12-31;5;20.2;980.77911;26.461602;6.9;2.990798;
2018-01-31;7;25.2;981.357831;26.562646;5.9;2.983456;
2018-02-28;6;54.6;980.591576;26.517249;6.4;2.929904;
2018-03-31;8;42.8;980.749139;26.875354;5.1;2.432478;
2018-04-30;7;32.8;982.485271;25.433988;5.8;2.534336;
2018-05-31;19;46.8;983.938807;24.294893;5.9;2.591869;
2018-06-30;19;41.8;985.802197;23.166617;5.5;2.505843;
2018-07-31;22;61.4;986.352151;22.281586;5.7;2.675672;
2018-08-31;10;14.6;986.307954;23.394197;5.8;2.739166;
2018-09-30;6;13.8;984.028732;24.292126;6.5;null;
2018-10-31;2;1;982.154868;26.149655;null;null;
2018-11-30;4;18;981.718379;26.246196;null;null;
2018-12-31;9;26;982.20853;26.565435;null;null;
2019-01-31;3;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;6;null;null;null;5.5;null;
2019-04-30;8;50.4;981.746667;26.760972;5.5;2.396805;
2019-05-31;8;54.2;982.498522;25.959274;6.8;2.133737;
2019-06-30;21;137.2;985.674444;23.368889;6.4;2.408013;
2019-07-31;23;336.8;985.760081;22.510215;null;null;
2019-08-31;23;81;987.488172;22.180645;null;null;
2019-09-30;17;33.4;985.196944;23.606111;null;null;
2019-10-31;4;7.6;982.993952;25.3125;null;null;
2019-11-30;3;3;980.921667;26.659722;4.9;null;
2019-12-31;2;3.2;981.114382;27.202151;null;null;
2020-01-31;4;47;981.291532;27.24664;null;null;
2020-02-29;13;40.2;981.49727;27.296839;null;null;
2020-03-31;10;178.2;981.015188;27.155511;null;null;
2020-04-30;16;81.6;982.214167;26.152778;null;null;
2020-05-31;27;73.8;983.846237;24.485618;null;null;
2020-06-30;28;167.8;984.878472;23.297639;null;null;
2020-07-31;26;89;985.303629;22.180376;null;null;
2020-08-31;15;37.6;985.671237;22.293011;null;null;
2020-09-30;null;null;985.01375;23.264722;null;null;
2020-10-31;null;null;982.453495;25.808602;null;null;
2020-11-30;10;31.6;981.66375;25.903889;null;null;
2020-12-31;1;.4;981.670027;26.484409;null;null;

