Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.951944
Longitude: -46.530556
Altitude: 891
Situacao: Operante
Data Inicial: 2017-12-19
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-12-31;8;null;null;null;null;null;
2018-01-31;23;325.6;914.557357;22.001327;6.2;1.801537;
2018-02-28;9;135;914.382589;21.790327;6.1;2.098958;
2018-03-31;16;151.8;914.247776;23.138453;5.2;1.380168;
2018-04-30;5;20;917.932083;20.529861;5.9;1.574167;
2018-05-31;2;20.4;918.840039;18.500484;7;1.608699;
2018-06-30;4;8.2;919.443458;18.131429;5.8;1.374977;
2018-07-31;1;17.2;919.429973;17.837366;5.2;1.235215;
2018-08-31;9;80.4;919.264382;17.131989;7;2.070564;
2018-09-30;8;65.4;915.899495;19.417475;6.1;2.086793;
2018-10-31;21;212;915.03078;20.254839;9.4;2.223118;
2018-11-30;17;192.4;914.908565;20.808271;6.1;2.106876;
2018-12-31;11;98.8;914.84439;22.833883;5.3;1.654926;
2019-01-31;17;187.6;916.519489;24.156452;7.8;1.365726;
2019-02-28;18;182.6;914.586083;22.6136;6.2;1.637513;
2019-03-31;18;133.2;916.361425;22.139382;5.3;1.542608;
2019-04-30;14;113;915.864028;21.616111;6.2;1.41;
2019-05-31;5;null;null;19.717361;6.8;null;
2019-06-30;5;21.8;920.452361;18.034861;6.6;1.204861;
2019-07-31;8;68.8;919.703226;16.262634;7.3;1.379032;
2019-08-31;2;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;4;null;null;null;null;null;
2019-11-30;13;201.8;914.046866;21.543998;6.2;2.143895;
2019-12-31;15;251;914.264019;22.187079;6.5;1.788178;
2020-01-31;18;247;913.48293;22.514382;6;1.81586;
2020-02-29;19;367.2;915.082752;21.605703;7;1.766211;
2020-03-31;10;113;916.150134;21.130078;5.9;1.903056;
2020-04-30;5;2.2;917.390417;19.685278;7;1.929306;
2020-05-31;7;14.2;918.264516;17.080242;7.3;1.693683;
2020-06-30;9;81;919.153472;18.5325;7.1;1.383194;
2020-07-31;5;7.8;918.969892;18.033065;6.4;1.699059;
2020-08-31;9;42;919.488441;17.771909;6.2;1.82379;
2020-09-30;4;22.2;917.460876;22.476703;5.6;1.925447;
2020-10-31;14;90.8;914.859175;21.93362;6.6;2.029278;
2020-11-30;10;136.8;914.957738;21.076203;6.4;2.155962;
2020-12-31;22;343.2;914.179299;22.184492;7.8;1.744088;

