Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Operante
Data Inicial: 2019-03-28
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-03-31;null;null;null;null;null;null;
2019-04-30;12;null;961.674833;25.743333;9.1;2.2175;
2019-05-31;5;19.2;961.716801;26.675672;6.3;2.649194;
2019-06-30;1;7.8;964.166806;26.192222;8.5;3.3825;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;6;null;null;25.341111;9.1;null;
2020-01-31;19;279.8;960.873785;24.887629;8.6;2.485238;
2020-02-29;20;352.8;961.422208;25.298969;7;2.367341;
2020-03-31;24;197.4;961.11806;25.204802;8.7;2.379118;
2020-04-30;16;291;962.225556;25.610972;7.3;2.48875;
2020-05-31;4;110;963.43871;24.976882;7;2.925134;
2020-06-30;0;0;963.700556;25.551528;7.8;3.196944;
2020-07-31;0;0;963.394489;26.236425;8.9;3.472849;
2020-08-31;0;0;962.461022;27.906048;9.8;3.749328;
2020-09-30;2;5.8;961.071957;29.786383;8.9;3.68686;
2020-10-31;12;121.2;959.787389;27.775286;14.5;3.24122;
2020-11-30;13;68.4;960.003955;26.162361;9.3;3.215688;
2020-12-31;20;323;960.174145;25.511885;8.6;2.425351;

