Nome: REMANSO
Codigo Estacao: A423
Latitude: -9.62555554
Longitude: -42.07722221
Altitude: 397.4
Situacao: Operante
Data Inicial: 2008-03-25
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-11-30;11.2;964.685278;29.738056;8.8;3.807361;null;
2019-12-31;57.8;965.096505;29.783468;9.4;3.707527;null;
2020-01-31;130.2;966.637366;26.81922;8.8;2.28172;null;
2020-02-29;73.8;966.825144;27.296552;8;2.278448;null;
2020-03-31;339;966.916801;25.849597;9;2.096505;null;
2020-04-30;62.8;967.832639;26.271528;8.3;2.317083;null;
2020-05-31;3.6;969.103495;26.083468;7.7;2.533065;null;
2020-06-30;8.8;969.93375;25.602361;7.6;3.01125;null;
2020-07-31;2;970.007124;25.214247;6.9;3.111022;null;
2020-08-31;3.4;969.776075;25.538441;6.8;3.053495;null;
2020-09-30;0;968.780833;26.878333;7.5;3.917083;null;
2020-10-31;5.4;966.264651;28.473118;8.2;3.4875;null;
2020-11-30;null;966.409835;26.410253;7.7;3.157464;null;
2020-12-31;3.4;965.872581;27.383602;8.6;3.201344;null;

