Nome: DIAMANTINO
Codigo Estacao: 83309
Latitude: -14.40611111
Longitude: -56.44694444
Altitude: 274.02
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;36;58.7;null;null;127.1;3.752688;22;344.5;null;null;null;22.419355;83.564516;9;1.494624;59.677419;null;
1970-02-28;5;44.4;null;null;120.5;3.309524;18;225.9;null;31.617857;25.540714;22.214286;87.633929;5;1.511905;59.642857;null;
1970-03-31;36;63.8;null;null;185.3;4.666667;14;148.6;null;32.587097;25.670968;21.53871;81.830645;5;1.604396;57.903226;null;
1970-04-30;36;52.3;null;null;191.6;3.755556;10;127;null;32.416667;25.386667;21.376667;84.358333;7;1.438202;60;null;
1970-05-31;5;74.5;null;null;234.9;2.913978;3;52;null;31.625806;23.592903;18.825806;79.33871;7;1.913978;58.387097;null;
1970-06-30;5;99.3;null;null;266.4;3.244444;0;0;null;32.446667;23.199333;17.606667;73.733333;9;1.8;59.833333;null;
1970-07-31;23;131.6;null;null;271.9;2.419355;0;0;null;32.516129;22.322581;16.054839;66.467742;5;1.935484;56.612903;null;
1970-08-31;5;200.7;null;null;255.6;2.311828;null;0;null;34.735484;24.526452;17.709677;53.564516;9;2.204301;42.419355;null;
1970-09-30;23;158.7;null;null;207;3.111111;2;8.2;976.217978;35.963333;27.068;20.833333;58.325;7;2.366667;43.833333;null;
1970-10-31;5;103.4;null;null;193.6;3.903226;12;202.9;974.909677;33.967742;26.492903;21.648387;74.104839;9;2.268817;59.516129;null;
1970-11-30;32;81.4;null;null;226.4;3.444444;14;145.8;973.615556;33.45;26.307333;21.44;76.925;9;1.933333;58.833333;null;
1970-12-31;5;75.9;null;null;181.5;3.236559;17;97.4;974.42043;32.890323;26.08;21.858065;79.774194;5;1.746032;58.548387;null;
1971-01-31;5;56.4;null;null;152.5;5.204301;17;255;974.916129;31.774194;25.302581;21.222581;84.693548;5;2.043478;59.193548;null;
1971-02-28;0;47.7;null;null;157.2;3.904762;17;272.7;975.329762;31.607143;24.543571;20.75;86.759259;7;2.285714;57.142857;null;
1971-03-31;32;57.8;null;null;164.6;4;14;121.6;975.009677;32.035484;25.476774;21.690323;83.806452;5;1.924731;60;null;
1971-04-30;0;65;null;null;204.7;4.155556;12;190.8;976.415556;32.1;24.438;19.996667;80.916667;7;1.688889;58.083333;null;
1971-05-31;36;63.6;null;null;155.7;2.537634;8;72.2;978.555914;29.893548;22.82129;18.958065;83.008065;5;1.774194;55.887097;null;
1971-06-30;36;82.3;null;null;212.5;2.366667;0;0;978.942222;30.17;21.852;16.693333;75.625;5;2.022222;58.416667;null;
1971-07-31;36;111.5;null;null;235.1;2.591398;5;42.9;978.565591;32.270968;22.385806;16.341935;70.951613;5;1.451613;56.612903;null;
1971-08-31;36;150.4;null;null;243.2;1.763441;0;0;976.886022;33.906452;23.732903;17.190323;60.290323;9;1.892473;40.483871;null;
1971-09-30;0;129.3;null;null;165.8;3.622222;6;46;976.61236;34.76;26.185333;20.513333;64.2;7;1.888889;34.666667;null;
1971-10-31;9;79.8;null;null;165.9;3.290323;13;220.4;977.097849;31.496774;24.739355;20.306452;77.782258;7;2.032258;59.032258;null;
1971-11-30;5;70.5;null;null;167.5;3.666667;9;63.8;974.978889;32.216667;25.544;21.616667;79;7;2.055556;60;null;
1971-12-31;0;74.9;null;null;150.9;3.462366;18;233.1;974.834409;31.674194;25.494839;21.458065;79.435484;5;1.709677;58.225806;null;
1972-01-31;36;62.8;null;null;120.6;3.096774;16;272.1;974.811828;30.867742;24.76;21.264516;83.580645;5;1.677419;57.903226;null;
1972-02-29;0;50.5;null;null;108.6;2.770115;23;354.3;975.303448;30.793103;24.76069;21.510345;85.051724;5;1.597701;57.241379;null;
1972-03-31;32;65.6;null;null;196.4;4.397849;9;139.3;975.612903;32.883871;25.591613;21.3;82.032258;5;1.430108;58.064516;null;
1972-04-30;0;72.6;null;null;202.1;3.366667;7;56.6;977.231111;30.84;23.700667;19.13;80.658333;7;1.444444;57.666667;null;
1972-05-31;0;94.2;null;null;214.3;3.408602;5;74.7;977.206452;33.364516;24.952258;20.070968;77.427419;4;1.129032;55.967742;null;
1972-06-30;0;101.8;null;null;243.9;2.788889;2;2.9;978.783333;32.663333;23.59;18.35;75.483333;4;1.3;56.166667;null;
1972-07-31;36;124.6;null;null;259.5;2.16129;2;24.6;979.073118;31.790323;22.605161;16.974194;70.879032;5;1.72043;55.645161;null;
1972-08-31;9;137.3;null;null;254.2;3.709677;2;24.1;977.597826;33.325806;24.375484;18.5;65.362903;6;2.043011;50.16129;null;
1972-09-30;18;117;null;null;180;3.155556;6;181.4;977.061111;34.166667;26.220667;20.713333;68.591667;7;1.544444;51.5;null;
1972-10-31;32;85.4;null;null;217.9;3.462366;12;116.2;976.293548;33.777419;26.143226;21.406452;76.016129;4;1.258065;55.887097;null;
1972-11-30;0;59;null;null;164.7;3.111111;18;253.4;975.248889;32.823333;26.215333;22.363333;82.675;4;.988889;59.666667;null;
1972-12-31;36;55.6;null;null;150.4;3.505376;21;297.3;974.817204;32.196774;25.99871;22.377419;84.266129;4;.967742;58.709677;null;
1973-01-31;0;77.9;null;null;202.5;3.365591;12;210;976.503226;33.593548;26.644516;22.390323;80.435484;3;.88172;57.741935;null;
1973-02-28;0;57.3;null;null;156.4;2.535714;14;280.3;976.14881;32.542857;26.152143;22.460714;82.339286;7;1.357143;56.607143;null;
1973-03-31;0;61.3;null;null;182.3;3.473118;15;232.9;976.255914;33.503226;26.298065;22.335484;83.677419;3;1.021505;58.951613;null;
1973-04-30;36;69.4;null;null;215.3;3.477778;8;135.6;980.037778;33.49;26.122;22.126667;81.108333;3;1.133333;58.083333;null;
1973-05-31;0;86;null;null;234.1;3.827957;4;41.6;981.508602;31.683871;23.933548;19.254839;76.685484;5;1.419355;53.951613;null;
1973-06-30;32;98.1;null;null;246.9;3.444444;2;42.8;981.123333;32.896667;24.150667;18.953333;77.283333;5;1.181111;54.5;null;
1973-07-31;32;126.1;null;null;238.4;2.806452;2;3.1;982.402151;31.096774;21.72;16.225806;67.83871;5;1.591398;56.290323;null;
1973-08-31;0;139;null;null;213.8;2.505376;2;13.5;981.231183;33.335484;24.28129;18.203226;63.58871;7;1.430108;50.322581;null;
1973-09-30;23;146.8;null;null;189.9;2.844444;6;91.2;980.331111;34.893333;26.336;20.556667;62.666667;5;1.422222;48;null;
1973-10-31;36;93.5;null;null;186.7;3.752688;9;179.2;977.424731;33.758065;26.70129;22.235484;74.225806;5;1.225806;56.532258;null;
1973-11-30;36;53.3;null;null;143.1;3.322222;21;282;978.702222;32.563333;25.860667;22.186667;82.858333;6;1.188889;55;null;
1973-12-31;36;56.9;null;null;155.8;3.849462;20;372.9;978.908602;31.954839;25.542581;21.974194;84.725806;5;1.182796;54.83871;null;
1974-01-31;0;59.5;null;null;161.9;3.569892;22;313.2;978.419355;31.667742;25.410968;21.832258;82.467742;5;1.27957;56.935484;null;
1974-02-28;36;54.4;null;null;169;3.416667;17;189.8;978.555422;32.385714;25.500714;21.685714;84.276786;3;1.130952;55.714286;null;
1974-03-31;36;44.5;null;null;107.6;2.516129;22;348.2;977.855435;30.558065;24.585161;21.248387;87.782258;4;1.096774;51.854839;null;
1974-04-30;0;48.7;null;null;157.8;3.866667;14;253.3;980.591111;31.506667;24.580667;20.983333;85.658333;5;.944444;54.916667;null;
1974-05-31;0;75.1;null;null;251;4.290323;4;95.4;982.395699;30.990323;23.177419;18.374194;80.137097;3;.946237;56.666667;null;
1974-06-30;36;102.2;null;null;229.8;2.944444;0;0;982.037079;31.753333;23.139333;18.173333;77.675;3;1.088889;53.833333;null;
1974-07-31;0;155.4;null;null;279.2;1.344086;0;0;984.534409;31.848387;21.469677;15.080645;67.975806;5;1.451613;55.967742;null;
1974-08-31;32;164.9;null;null;225.4;3.139785;2;35.3;981.783871;34.223333;24.792667;18.616129;65.685484;7;1.290323;52.419355;null;
1974-09-30;32;148.5;null;null;189.9;2.222222;8;54.3;981.374444;33.113333;24.888;19.503333;66.558333;5;1.411111;45.666667;null;
1974-10-31;0;143.8;null;null;188.8;3.741935;7;132.6;979.145161;33.390323;25.844516;20.832258;70.185484;5;1.419355;55.645161;null;
1974-11-30;0;107.3;null;null;215.8;4.222222;9;148.1;978.493333;33.186667;25.957692;21.103333;74.758333;5;1.3;58.916667;null;
1974-12-31;36;56.2;null;null;115;3.290323;23;266.1;978.702151;31.058065;25.158065;21.909677;84.75;3;1;54.83871;null;
1975-01-31;0;70.1;null;null;179.8;3.978495;22;223.1;979.274194;32.022581;25.419355;21.480645;82.475806;3;.709677;57.096774;null;
1975-02-28;0;56.8;null;null;145.1;3.619048;20;344.6;979.839506;31.817857;25.129286;21.596429;85.348214;10;1.083333;47.152542;null;
1975-03-31;14;68.5;null;null;176.5;3.795699;18;303.7;980.138462;32.551613;25.524516;21.732258;83.637097;5;.790323;56.564516;null;
1975-04-30;0;62.4;null;null;176.4;3.733333;15;189.8;979.68625;31.923333;null;21.326667;84.158333;7;.922222;55.901639;null;
1975-05-31;32;86.6;null;null;239.7;3.526882;2;36.6;982.272043;30.9;23.098;18.264516;78.112903;5;1.193548;56.393443;null;
1975-06-30;36;115.6;null;null;237.5;2.444444;1;4;983.623333;31.616667;22.404667;16.996667;72.725;3;1.166667;56.098361;null;
1975-07-31;0;135.8;null;null;271.2;2.225806;3;49.6;982.965432;31.009677;21.944516;15.045161;66.33871;7;1.182796;57.258065;null;
1975-08-31;32;172.7;null;null;261.2;2.107527;0;0;981.937634;34.351613;24.264516;17.832258;59.967742;4;1.225806;35.983871;null;
1975-09-30;18;157.6;null;null;196.8;1.455556;3;18;979.964444;36.043333;27.001333;20.723333;59.875;5;1.123596;7.083333;null;
1975-10-31;23;112.1;null;null;223;3.55914;12;222.4;979.460215;33.725806;26.087097;20.96129;71.733871;5;1.010753;53.709677;null;
1975-11-30;36;67.6;null;null;145.8;3.611111;24;250.8;978.456667;31.446667;25.303333;21.826667;82.191667;5;1.1;56.666667;null;
1975-12-31;23;76.2;null;null;184.2;4.892473;18;188;978.51828;32.406452;25.427097;21.454839;80.475806;5;.967742;57.83871;null;
1976-01-31;0;69.3;null;null;198.8;4.376344;18;164.2;979.054839;32.319355;25.491613;21.409677;81.475806;5;.580645;55.080645;null;
1976-02-29;36;50.6;null;null;134.3;3.574713;23;195.9;978.452381;31.113793;25.102069;21.768966;84.956897;3;.689655;57.413793;null;
1976-03-31;5;63.4;null;null;166.9;3.841463;14;321.8;979.806098;31.95;24.683571;20.596552;83.133929;5;.8;56.491228;null;
1976-04-30;0;59.4;null;null;173.6;3.711111;12;85.9;980.85618;31.476667;24.598667;20.563333;83.183333;8;1.144444;58.016667;null;
1976-05-31;0;62.9;null;null;185.8;3.247312;8;117.3;982.035484;30.3;23.670968;19.858065;82.58871;12.3;1.680645;54.290323;null;
1976-06-30;0;93.6;null;null;201.2;2.088889;0;0;983.365882;29.303333;21.128667;16.266667;76.191667;6.7;1.574157;56;null;
1976-07-31;18;154.5;null;null;278.2;1.462366;0;0;983.951087;32.067742;21.96129;16.019355;66.354839;12.3;1.726882;54.048387;null;
1976-08-31;36;193.6;null;null;257.6;2.010753;0;0;981.093548;34.73871;24.76129;18.203226;55.709677;6.7;1.632258;48.387097;null;
1976-09-30;0;135.7;null;null;178.5;3.177778;7;43.8;981.047778;32.953333;24.858667;19.383333;65.65;6.7;1.341111;50.35;null;
1976-10-31;5;103.3;null;null;215.2;3.688172;12;239.2;978.451613;33.129032;25.987742;21.203226;73.717742;6.7;1.307527;58.064516;null;
1976-11-30;0;63.8;null;null;125.3;3.966667;17;293.4;978.371111;31.44;25.304;21.533333;81.425;12.4;1.016667;56.6;null;
1976-12-31;5;60.5;null;null;145.8;4.193548;16;266.8;978.294624;31.696774;25.572258;21.816129;82.637097;4.4;1.072043;55.516129;null;
1977-01-31;36;64.6;null;null;112;4.043011;20;174.3;978.376344;31.212903;25.404516;22.283871;84.048387;6.7;1.424731;55.5;null;
1977-02-28;0;63.7;null;null;165;4.285714;16;138.1;980.104762;32.3;25.285;21.207143;81.4375;4.4;1.09881;56.785714;null;
1977-03-31;5;71.3;null;null;194.3;4.774194;15;181.7;979.672043;33.33871;25.989032;21.716129;81.354839;4.4;.663441;57.096774;null;
1977-04-30;0;65.4;null;null;192.4;3.755556;8;86.7;980.233333;31.68;24.538;20.156667;82.083333;6.7;.866667;53.65;null;
1977-05-31;0;75.4;null;null;193.5;4.236559;10;239.5;982.377419;30.283871;22.480645;17.874194;80.524194;6.5;.98172;56.354839;null;
1977-06-30;0;75;null;null;204.6;3.455556;4;13.5;983.091111;30.8;22.962;18.356667;79;10;.401124;56.1;null;
1977-07-31;0;145.1;null;null;267.2;2.139785;0;0;980.426882;32.980645;23.867742;18.503226;66.983871;2;.504301;59.354839;null;
1977-08-31;0;162.9;null;null;240.5;2.064516;2;40.2;981.658065;33.990323;24.705161;18.703226;61.266129;2;.466667;54.83871;null;
1977-09-30;0;113.8;null;null;169.5;3.111111;6;116.7;981.054444;33.493333;25.655333;20.606667;70.625;2;.324444;49;null;
1977-10-31;23;81;null;null;189.2;4.193548;15;167.3;980.329032;32.548387;25.66129;21.125806;77.096774;1.6;.462366;57.580645;null;
1977-11-30;32;67.8;null;null;147.3;4.277778;20;275.3;979.018889;32.48;25.838667;22.09;82.158333;1.9;.303333;58.7;null;
